member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-00484,nw501671ab9b72efa2fae0,NWSC-MEM-000233,NWSC-HH-000233,Francis Nanyonga,Officer,Principal,Professional/Officer,IT Officer,Information & Business Solutions,"Plot 167, School Lane, Busiro, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Busiro,DB
NWSC-2026-00485,nw6ff812e8e523ea8f4898,NWSC-MEM-000234,NWSC-HH-000234,Samuel Nakimuli,Staff,Principal,Field/Operations,Field Assistant,Public Relations & Corporate Communications,"Plot 258, Market Street, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00486,nw885c69820a7f02cb555b,NWSC-MEM-000235,NWSC-HH-000235,Mary Kakooza,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 166, Old Kampala Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00487,nwf000dddb79e77e8c51b1,NWSC-MEM-000236,NWSC-HH-000236,Irene Mirembe,Staff,Principal,Field/Operations,Plant Operator,Information & Business Solutions,"Plot 726, Council Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00488,nw2461ff61bbd8256f8fed,NWSC-MEM-000237,NWSC-HH-000237,Collins Senyonga,Staff,Principal,Support/Admin,Stores Assistant,Procurement & Stores,"Plot 403, Industrial Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00489,nwf2c067b54645be24db31,NWSC-MEM-000238,NWSC-HH-000238,Catherine Anywar,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 533, Hospital Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00490,nw67b64e9f5f7a7ad27c42,NWSC-MEM-000239,NWSC-HH-000239,Annet Laker,Officer,Principal,Professional/Officer,Civil Engineer,Commercial & Customer Services,"Plot 651, Station Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,DB
NWSC-2026-00491,nwb2b07c11b97482d97c10,NWSC-MEM-000240,NWSC-HH-000240,Patricia Kyomuhendo,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 154, Civic Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00492,nw3200e581bb98abf56b23,NWSC-MEM-000241,NWSC-HH-000241,Annet Nakimuli,Management,Principal,Regional/General Manager,Regional Manager,Planning & Capital Development,"Plot 492, Station Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00493,nwbf43203741f093351ad9,NWSC-MEM-000242,NWSC-HH-000242,Halima Tumusiime,Executive,Principal,Executive Leadership,Corporate Strategy Lead,Human Resource,"Plot 665, Spring Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00494,nw4e90ef29d8cb480092d7,NWSC-MEM-000243,NWSC-HH-000243,Samuel Namutebi,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Kampala Water,"Plot 381, School Lane, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00495,nw544d62c9fdfdb632c518,NWSC-MEM-000244,NWSC-HH-000244,Catherine Nanyonga,Executive,Principal,Senior Director/Director,Director of Engineering,Water Quality,"Plot 302, Water Works Road, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00496,nw122ddcf2b60dc3400bb2,NWSC-MEM-000245,NWSC-HH-000245,Florence Ouma,Management,Principal,Area/Branch Manager,Branch Manager,Information & Business Solutions,"Plot 341, Mission Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00497,nw9d0c791eb2d3c04e1d31,NWSC-MEM-000246,NWSC-HH-000246,Daniel Kyomuhendo,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 396, Old Kampala Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00498,nw6f35203c5751e5a6abf9,NWSC-MEM-000247,NWSC-HH-000247,Irene Wabwire,Management,Principal,Area/Branch Manager,District Operations Manager,Engineering Services,"Plot 168, Council Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00499,nw13068643c5dd7f2aa732,NWSC-MEM-000248,NWSC-HH-000248,Noah Byaruhanga,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 916, Spring Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00500,nw46a250f1c334a171d9b7,NWSC-MEM-000249,NWSC-HH-000249,Akello Nantongo,Officer,Principal,Professional/Officer,IT Officer,Human Resource,"Plot 916, Church Road, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00501,nwaea5867013512cdc78e4,NWSC-MEM-000250,NWSC-HH-000250,Ibrahim Nansubuga,Staff,Principal,Support/Admin,Records Clerk,Public Relations & Corporate Communications,"Plot 616, Lake View Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00502,nw4a7ad3cd54e91967113a,NWSC-MEM-000251,NWSC-HH-000251,Simon Nakimuli,Officer,Principal,Professional/Officer,Commercial Officer,Engineering Services,"Plot 168, Old Kampala Road, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00503,nwc8332714fdb0195b0ea0,NWSC-MEM-000252,NWSC-HH-000252,Martha Mukasa,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 122, Industrial Lane, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00504,nw68a960ba1a018242f06d,NWSC-MEM-000253,NWSC-HH-000253,Noah Opio,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Information & Business Solutions,"Plot 191, Lake View Road, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00505,nw839e33ba88811ce8de79,NWSC-MEM-000254,NWSC-HH-000254,Charles Bukenya,Officer,Principal,Professional/Officer,IT Officer,Kampala Water,"Plot 727, Water Works Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00506,nw11947e1c3ec2683bbabf,NWSC-MEM-000255,NWSC-HH-000255,Brenda Anywar,Officer,Principal,Professional/Officer,IT Officer,Information & Business Solutions,"Plot 28, Water Works Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00507,nwb12cb443c2e665660010,NWSC-MEM-000256,NWSC-HH-000256,Rebecca Opio,Officer,Principal,Professional/Officer,IT Officer,Engineering Services,"Plot 185, Hill Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00508,nw703032889081f26fa731,NWSC-MEM-000257,NWSC-HH-000257,Esther Tumusiime,Staff,Principal,Field/Operations,Field Assistant,Finance & Corporate Strategy,"Plot 551, Lake View Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00509,nw356eda0b8fdb8887bebc,NWSC-MEM-000258,NWSC-HH-000258,Ruth Akena,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Procurement & Stores,"Plot 380, Station Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00510,nw3a1ca1ea3aa3b736e2ad,NWSC-MEM-000259,NWSC-HH-000259,James Wamala,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Human Resource,"Plot 748, Mission Road, Nabweru, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nabweru,DB
NWSC-2026-00511,nw2f3aeb7dc2d6216f5212,NWSC-MEM-000260,NWSC-HH-000260,Rebecca Katumba,Executive,Principal,Senior Director/Director,Director of Operations,Planning & Capital Development,"Plot 472, Commercial Street, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00512,nw107874014a2819373105,NWSC-MEM-000261,NWSC-HH-000261,Paul Walusimbi,Officer,Principal,Supervisor/Specialist,Network Supervisor,Water Quality,"Plot 294, Old Kampala Road, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,DB
NWSC-2026-00513,nw278b19ab110f4da086c9,NWSC-MEM-000262,NWSC-HH-000262,Halima Lwanga,Staff,Principal,Support/Admin,Customer Care Assistant,Commercial & Customer Services,"Plot 212, Hill Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00514,nw469f89d06d7f484b5c9b,NWSC-MEM-000263,NWSC-HH-000263,Susan Nansubuga,Officer,Principal,Professional/Officer,Human Resource Officer,Engineering Services,"Plot 114, Station Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00515,nw14135ab242a98ef9a24d,NWSC-MEM-000264,NWSC-HH-000264,Akello Olanya,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Water Quality,"Plot 483, Old Kampala Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00516,nwf333fb221e1b5fae51fc,NWSC-MEM-000265,NWSC-HH-000265,Annet Opio,Officer,Principal,Professional/Officer,IT Officer,Kampala Water,"Plot 708, Hill Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00517,nw59af6919a3d4886604f9,NWSC-MEM-000266,NWSC-HH-000266,Abdul Ntale,Officer,Principal,Supervisor/Specialist,Network Supervisor,Kampala Water,"Plot 362, Civic Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00518,nw446ac1821f70805badc5,NWSC-MEM-000267,NWSC-HH-000267,Angela Kato,Staff,Principal,Field/Operations,Field Assistant,Legal Services,"Plot 145, Industrial Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00519,nwc0abc1893dd718d6bc4a,NWSC-MEM-000268,NWSC-HH-000268,Emmanuel Ntale,Staff,Principal,Field/Operations,Pump Attendant,Legal Services,"Plot 219, Hill Road, Bugolobi, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Bugolobi,DB
NWSC-2026-00520,nwe607291e8bee2345775f,NWSC-MEM-000269,NWSC-HH-000269,Judith Kato,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 537, Mission Road, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00521,nwaf4e765771ff63d1246e,NWSC-MEM-000270,NWSC-HH-000270,Allan Auma,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 692, Mission Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00522,nwa9fa32a56f3a5e7a724c,NWSC-MEM-000271,NWSC-HH-000271,Agnes Mugisha,Management,Principal,Area/Branch Manager,Area Manager,Water Quality,"Plot 343, Main Street, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00523,nw84edc87a7f150c4b9b2b,NWSC-MEM-000272,NWSC-HH-000272,Brenda Baluku,Staff,Principal,Field/Operations,Meter Reader,Planning & Capital Development,"Plot 224, High Street, Rubaga, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Rubaga,DB
NWSC-2026-00524,nw2b2d1bf8da7ca56dad02,NWSC-MEM-000273,NWSC-HH-000273,Linda Akena,Staff,Principal,Field/Operations,Field Assistant,Kampala Water,"Plot 917, Hill Road, Nansana, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Nansana,DB
NWSC-2026-00525,nw3b46eb98f326f99c3d9b,NWSC-MEM-000274,NWSC-HH-000274,Catherine Nantongo,Officer,Principal,Professional/Officer,Civil Engineer,Engineering Services,"Plot 845, Market Street, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00526,nw12627ca04da48c2cd52a,NWSC-MEM-000275,NWSC-HH-000275,Robert Kizza,Staff,Principal,Field/Operations,Meter Reader,Internal Audit,"Plot 269, Mission Road, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00527,nw62876f656b6d95c187c6,NWSC-MEM-000276,NWSC-HH-000276,Simon Bamwesigye,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 828, Council Road, Kawempe, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kawempe,DB
NWSC-2026-00528,nw3681c14116b1d6a3f18e,NWSC-MEM-000277,NWSC-HH-000277,Florence Mirembe,Officer,Principal,Supervisor/Specialist,Network Supervisor,Kampala Water,"Plot 565, Hill Road, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00529,nw44c8bb1008c67321fc98,NWSC-MEM-000278,NWSC-HH-000278,Halima Nabirye,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Kampala Water,"Plot 406, Industrial Lane, Nakawa, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakawa,DB
NWSC-2026-00530,nwd7da6ff55e831741726e,NWSC-MEM-000279,NWSC-HH-000279,Rose Bukenya,Management,Principal,Area/Branch Manager,Branch Manager,Kampala Water,"Plot 78, Industrial Lane, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,DB
NWSC-2026-00531,nwa32cb0d2c996f861b37c,NWSC-MEM-000280,NWSC-HH-000280,Wasswa Byaruhanga,Executive,Principal,Executive Leadership,Chief Technical Advisor,Kampala Water,"Plot 25, School Lane, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00532,nw8b8a96af9138db2cc23a,NWSC-MEM-000281,NWSC-HH-000281,Brian Nalubega,Staff,Principal,Field/Operations,Plant Operator,Kampala Water,"Plot 392, Commercial Street, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00533,nw1a0a732ca539ba55ca18,NWSC-MEM-000282,NWSC-HH-000282,Paul Agaba,Staff,Principal,Support/Admin,Driver,Kampala Water,"Plot 851, Reservoir Road, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00534,nw0219aef4ed48172c6a63,NWSC-MEM-000283,NWSC-HH-000283,Joseph Nantongo,Staff,Principal,Support/Admin,Driver,Procurement & Stores,"Plot 965, Reservoir Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00535,nw00154be79f5e13f887ec,NWSC-MEM-000284,NWSC-HH-000284,Lydia Nantongo,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Commercial & Customer Services,"Plot 977, Water Works Road, Masulita, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Masulita,DB
NWSC-2026-00536,nw118b828ccba64af881d8,NWSC-MEM-000285,NWSC-HH-000285,Martha Nalubega,Staff,Principal,Field/Operations,Meter Reader,Engineering Services,"Plot 543, Industrial Lane, Namanve, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Namanve,DB
NWSC-2026-00537,nw88d077654f17b6f09227,NWSC-MEM-000286,NWSC-HH-000286,Francis Nakimuli,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Internal Audit,"Plot 896, Lake View Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00538,nw06cd8f83666955104653,NWSC-MEM-000287,NWSC-HH-000287,Hassan Kiconco,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Kampala Water,"Plot 368, Water Works Road, Nakasero, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Nakasero,DB
NWSC-2026-00539,nwd4134400c5a0737c44a6,NWSC-MEM-000288,NWSC-HH-000288,Ben Anywar,Staff,Principal,Field/Operations,Network Technician,Information & Business Solutions,"Plot 767, Hospital Road, Makindye, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Makindye,DB
NWSC-2026-00540,nwd28bdfb02e49bbf0001a,NWSC-MEM-000289,NWSC-HH-000289,Robert Otieno,Officer,Principal,Professional/Officer,Procurement Officer,Finance & Corporate Strategy,"Plot 15, High Street, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00541,nw251d95e3ea0c98a441d7,NWSC-MEM-000290,NWSC-HH-000290,Charles Nsubuga,Management,Principal,Area/Branch Manager,Customer Service Manager,Kampala Water,"Plot 504, Industrial Lane, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00542,nw93ca6a853ca17bbf5c3f,NWSC-MEM-000291,NWSC-HH-000291,Julius Mugisha,Officer,Principal,Professional/Officer,Civil Engineer,Kampala Water,"Plot 35, School Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00543,nw1f7839a9c6abc424e8a6,NWSC-MEM-000292,NWSC-HH-000292,Nakato Tumusiime,Officer,Principal,Professional/Officer,IT Officer,Planning & Capital Development,"Plot 398, Church Road, Kira, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kira,DB
NWSC-2026-00544,nw579dbb0dff6e8c05b3f9,NWSC-MEM-000293,NWSC-HH-000293,Noah Kizza,Staff,Principal,Field/Operations,Leakage Technician,Commercial & Customer Services,"Plot 873, School Lane, Kololo, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Kololo,DB
NWSC-2026-00545,nwee4925369c6f0dbdc9a5,NWSC-MEM-000294,NWSC-HH-000294,Lydia Mugisha,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Information & Business Solutions,"Plot 21, Industrial Lane, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00546,nwa964d124bebf319a2115,NWSC-MEM-000295,NWSC-HH-000295,Samuel Kagoya,Officer,Principal,Professional/Officer,IT Officer,Regional Operations,"Plot 242, Spring Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00547,nwd61bf7e9796a9e58005c,NWSC-MEM-000296,NWSC-HH-000296,Emmanuel Kato,Staff,Principal,Field/Operations,Leakage Technician,Public Relations & Corporate Communications,"Plot 678, Hill Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00548,nwe6ed693f350d1897542d,NWSC-MEM-000297,NWSC-HH-000297,Aisha Kato,Management,Principal,Area/Branch Manager,Area Manager,Technical Services,"Plot 942, Lake View Road, Ntinda, Kampala District, Uganda",Kampala Metropolitan Region,Kampala,Kampala City,Ntinda,DB
NWSC-2026-00549,nwe73464c02e435094f9c9,NWSC-MEM-000298,NWSC-HH-000298,David Waiswa,Officer,Principal,Professional/Officer,Procurement Officer,Water Quality,"Plot 718, Spring Road, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00550,nwb02cb3df99f050f3a7f6,NWSC-MEM-000299,NWSC-HH-000299,Timothy Mugisha,Officer,Principal,Professional/Officer,Commercial Officer,Kampala Water,"Plot 226, Spring Road, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
NWSC-2026-00551,nw299c9078d25a432ab98c,NWSC-MEM-000300,NWSC-HH-000300,John Walusimbi,Management,Principal,Area/Branch Manager,Customer Service Manager,Finance & Corporate Strategy,"Plot 543, Commercial Street, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00552,nwb5569e55debfdccca381,NWSC-MEM-000301,NWSC-HH-000301,Opio Auma,Officer,Principal,Professional/Officer,Human Resource Officer,Engineering Services,"Plot 986, Main Street, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00553,nw0ff4413eddc68b9778f3,NWSC-MEM-000302,NWSC-HH-000302,Denis Olanya,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Engineering Services,"Plot 644, Council Road, Namusera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Namusera,DB
NWSC-2026-00554,nwb0f528445b6365c89d6b,NWSC-MEM-000303,NWSC-HH-000303,Michael Aciro,Staff,Principal,Field/Operations,Leakage Technician,Regional Operations,"Plot 645, Council Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00555,nwbf3a2982b96c9f828613,NWSC-MEM-000304,NWSC-HH-000304,Grace Kisembo,Officer,Principal,Professional/Officer,Human Resource Officer,Procurement & Stores,"Plot 731, Civic Road, Wakiso, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Wakiso,DB
NWSC-2026-00556,nw1e81a1da0ef361597cf2,NWSC-MEM-000305,NWSC-HH-000305,Michael Nansubuga,Executive,Principal,Executive Leadership,Corporate Strategy Lead,Finance & Corporate Strategy,"Plot 99, Water Works Road, Najjeera, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Najjeera,DB
NWSC-2026-00557,nwf2c2a7eb1a6f73fc31e9,NWSC-MEM-000306,NWSC-HH-000306,Linda Nakku,Executive,Principal,Executive Leadership,Executive Programme Lead,Regional Operations,"Plot 347, Main Street, Mukono Central, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Mukono Central,DB
NWSC-2026-00558,nw18a3fc0ab97515184880,NWSC-MEM-000307,NWSC-HH-000307,Daniel Nanyonga,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Water Quality,"Plot 501, Old Kampala Road, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00559,nw920b6f3e41dbe18e15ff,NWSC-MEM-000308,NWSC-HH-000308,Okello Nakimuli,Management,Principal,Area/Branch Manager,Branch Manager,Information & Business Solutions,"Plot 546, Commercial Street, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00560,nw852bc3c99e79e281c33d,NWSC-MEM-000309,NWSC-HH-000309,Immaculate Kagoya,Staff,Principal,Field/Operations,Plant Operator,Planning & Capital Development,"Plot 32, High Street, Namayumba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Namayumba,DB
NWSC-2026-00561,nw2fbe93113a32e5579cf7,NWSC-MEM-000310,NWSC-HH-000310,Simon Nabirye,Staff,Principal,Field/Operations,Field Assistant,Kampala Water,"Plot 865, Council Road, Kyaliwajjala, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Kyaliwajjala,DB
NWSC-2026-00562,nw333e3a63463c6d5679b2,NWSC-MEM-000311,NWSC-HH-000311,Aisha Alupo,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Commercial & Customer Services,"Plot 695, Industrial Lane, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00563,nw32232426357ebf7c8407,NWSC-MEM-000312,NWSC-HH-000312,Halima Nantongo,Officer,Principal,Professional/Officer,Commercial Officer,Information & Business Solutions,"Plot 899, Lake View Road, Kakiri, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kakiri,Kakiri,DB
NWSC-2026-00564,nwf43f10eae7affc3ad2f1,NWSC-MEM-000313,NWSC-HH-000313,Charles Kato,Staff,Principal,Field/Operations,Meter Reader,Water Quality,"Plot 457, Old Kampala Road, Buloba, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Buloba,DB
NWSC-2026-00565,nw71c9b728a44ef4c89099,NWSC-MEM-000314,NWSC-HH-000314,Annet Kyomuhendo,Staff,Principal,Field/Operations,Leakage Technician,Water Quality,"Plot 313, Hill Road, Bweyogerere, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Kira Municipality,Bweyogerere,DB
NWSC-2026-00566,nwaee49cf76ba63026ae8f,NWSC-MEM-000315,NWSC-HH-000315,Ritah Wamala,Officer,Principal,Professional/Officer,Procurement Officer,Kampala Water,"Plot 256, Old Kampala Road, Kawanda, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kawanda,DB
NWSC-2026-00567,nweddb9d8f7ca754cda951,NWSC-MEM-000316,NWSC-HH-000316,Ruth Walusimbi,Staff,Principal,Support/Admin,Stores Assistant,Kampala Water,"Plot 31, Lake View Road, Goma, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Goma,DB
NWSC-2026-00568,nwd5d82c57c764603a7d27,NWSC-MEM-000317,NWSC-HH-000317,Martha Nalubega,Staff,Principal,Support/Admin,Records Clerk,Finance & Corporate Strategy,"Plot 334, Hospital Road, Seeta, Mukono District, Uganda",Kampala Metropolitan Region,Mukono,Mukono Municipality,Seeta,DB
NWSC-2026-00569,nwa758eede7c816d683e57,NWSC-MEM-000318,NWSC-HH-000318,Francis Katumba,Officer,Principal,Professional/Officer,Civil Engineer,Public Relations & Corporate Communications,"Plot 287, Main Street, Kazo, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Nansana TC,Kazo,DB
NWSC-2026-00570,nw92a0904eb969bce24600,NWSC-MEM-000319,NWSC-HH-000319,David Nsubuga,Officer,Principal,Professional/Officer,Civil Engineer,Public Relations & Corporate Communications,"Plot 742, Market Street, Kakiri Road, Wakiso District, Uganda",Kampala Metropolitan Region,Wakiso,Wakiso TC/Buloba,Kakiri Road,DB
